x,y
-2.0,0.9852665522156905
-1.9,0.9999841418734059
-1.7999999999999998,0.9832858890841685
-1.6999999999999997,0.9362210064826038
-1.5999999999999996,0.8617467537350986
-1.4999999999999996,0.76454262203892
-1.3999999999999995,0.6507163044803299
-1.2999999999999994,0.5274199272154458
-1.1999999999999993,0.4024006550801772
-1.0999999999999992,0.28351390873150345
-0.9999999999999991,0.1782297796773789
-0.899999999999999,0.09316365695421558
-0.7999999999999989,0.033660557904025334
-0.6999999999999988,0.0034592810772215987
-0.5999999999999988,0.004457483769359172
-0.49999999999999867,0.03659244523415828
-0.3999999999999986,0.09784500765866433
-0.2999999999999985,0.18436644727457924
-0.1999999999999984,0.2907203038272387
-0.09999999999999831,0.4102239733673154
1.7763568394002505e-15,0.5353686008338536
0.10000000000000187,0.6582908890333862
0.20000000000000195,0.7712671785217833
0.30000000000000204,0.867198753532761
0.40000000000000213,0.9400578803967261
0.5000000000000022,0.9852665522156911
0.6000000000000023,0.9999841418734059
0.7000000000000024,0.9832858890841678
0.8000000000000025,0.9362210064826024
0.9000000000000026,0.8617467537350967
1.0000000000000027,0.7645426220389181
1.1000000000000028,0.6507163044803272
1.2000000000000028,0.5274199272154433
1.300000000000003,0.40240065508017475
1.400000000000003,0.28351390873150073
1.500000000000003,0.17822977967737663
1.6000000000000032,0.09316365695421397
1.7000000000000033,0.03366055790402439
1.8000000000000034,0.003459281077221321
1.9000000000000035,0.004457483769359505
2.0000000000000036,0.03659244523415922
